text,label
"add Stani, stani Ibar vodo songs in my playlist música libre",AddToPlaylist
add this album to my Blues playlist,AddToPlaylist
Add the tune to the Rage Radio playlist.,AddToPlaylist
Add WC Handy to my Sax and the City playlist,AddToPlaylist
Add BSlade to women of k-pop playlist,AddToPlaylist
add the current tune to my Rock Gaming playlist,AddToPlaylist
add villotta to The MetalSucks Playlist playlist,AddToPlaylist
Add Bronislau Kaper to the drive playlist.,AddToPlaylist
add the artist joseph meyer to my mad cool festival 2017 playlist,AddToPlaylist
Add the avispa track to my Bass Gaming playlist.,AddToPlaylist
add bob klose to la mejor música para tus fiestas,AddToPlaylist
Add como un tatuaje to my hits of the 70s playlist,AddToPlaylist
Add this tune to the sylvia plath playlist,AddToPlaylist
add an album in Guitar Hero Live Playlist,AddToPlaylist
add Chris de Burgh in my playlist melancholia,AddToPlaylist
Add John Tesh to my salsa classics playlist,AddToPlaylist
add the current tune to my Six string peacefulness playlist,AddToPlaylist
Add the track to my workout playlist.,AddToPlaylist
Add the album to my Heavy Gamer playlist.,AddToPlaylist
add an album in my playlist In The Name Of Blues,AddToPlaylist
add bang a drum to my cleaning playlist,AddToPlaylist
Add the track to the bandas sonoras playlist.,AddToPlaylist
Add the track to my romantic evening playlist.,AddToPlaylist
Add decade in the sun best of stereophonics to laundry.,AddToPlaylist
I'd like to put qriii onto songs to sing in the car.,AddToPlaylist
"add Dunja, du to my ejercicio playlist",AddToPlaylist
"I want to send music to ann's lists from SIR John Winston Ono Lennon, put it on her Infinite Indie Folk list",AddToPlaylist
Please put maimi yajima's song onto Operación Bikini.,AddToPlaylist
"add artist in my
 Top 100 Rock Tracks on Spotify",AddToPlaylist
Add the artist Jurij Szewczuk to tisha's soul revived playlist.,AddToPlaylist
Add Fair Charlotte to the We Everywhere playlist.,AddToPlaylist
add Masahiro Nakai track in playlist Modern Psychedelia,AddToPlaylist
Add the song to the soundscapes for gaming playlist.,AddToPlaylist
A Shawnna to the Warm Hearts Feel Good playlist.,AddToPlaylist
Add Come on Feel the Lemonheads to my salsa classics playlist.,AddToPlaylist
Add track by Fleetwood Mac to lakeisha's playlist TODO NOVEDADES,AddToPlaylist
Add the artist to my Duetos.,AddToPlaylist
add Elvis Presley and America in my playlist Electro Workout,AddToPlaylist
Add Rattus at the Roundhouse to my funk playlist.,AddToPlaylist
add this artist to my Noche de chicas playlist,AddToPlaylist
add pump-pump to my this is zezé di camargo & luciano playlist,AddToPlaylist
Add a tune to my playlist girls' night,AddToPlaylist
I want to add Ottagathai Kattiko to the women of classical playlist.,AddToPlaylist
Add the artist to my Metal playlist.,AddToPlaylist
Add the current artist to my extreme metal workout playlist,AddToPlaylist
Add dear hearts and gentle people to he Tokyo Rising playlist.,AddToPlaylist
add the man who never lied to my current comedy top tracks,AddToPlaylist
add Michael Penn songs in my playlist Calm before the storm,AddToPlaylist
Please add james house to bleeps & bloops,AddToPlaylist
